Id,Label
drink,drink
jealousy,jealousy
taxi,taxi
deception,deception
cult film,cult film
corpse,corpse
based on true story,based on true story
dog,dog
female nudity,female nudity
f word,f word
death,death
song,song
party,party
watching tv,watching tv
father son relationship,father son relationship
title spoken by character,title spoken by character
pubic hair,pubic hair
crying,crying
investigation,investigation
bare chested male,bare chested male
female protagonist,female protagonist
mirror,mirror
sequel,sequel
voice over narration,voice over narration
lie,lie
strangulation,strangulation
beach,beach
blood splatter,blood splatter
tattoo,tattoo
kidnapping,kidnapping
girl,girl
montage,montage
man wears eyeglasses,man wears eyeglasses
family relationships,family relationships
ambush,ambush
pistol,pistol
brutality,brutality
explosion,explosion
marriage,marriage
pregnancy,pregnancy
nudity,nudity
photograph,photograph
female rear nudity,female rear nudity
cat,cat
father daughter relationship,father daughter relationship
motorcycle,motorcycle
slow motion scene,slow motion scene
restaurant,restaurant
race against time,race against time
arrest,arrest
woods,woods
gun,gun
funeral,funeral
looking at oneself in a mirror,looking at oneself in a mirror
police,police
secret,secret
london england,london england
airplane,airplane
france,france
written by director,written by director
punched in the face,punched in the face
supernatural power,supernatural power
bar,bar
helicopter,helicopter
rifle,rifle
male pubic hair,male pubic hair
sex,sex
surprise ending,surprise ending
car,car
prologue,prologue
survival,survival
kiss,kiss
paris france,paris france
f rated,f rated
prison,prison
theft,theft
machine gun,machine gun
attempted murder,attempted murder
infidelity,infidelity
singer,singer
male nudity,male nudity
anger,anger
female topless nudity,female topless nudity
male protagonist,male protagonist
chase,chase
brother sister relationship,brother sister relationship
fistfight,fistfight
subjective camera,subjective camera
falling from height,falling from height
beating,beating
car accident,car accident
memory,memory
escape,escape
nightclub,nightclub
telephone call,telephone call
flashback,flashback
knocked unconscious,knocked unconscious
character name in title,character name in title
forest,forest
criminal,criminal
murder,murder
hospital,hospital
two word title,two word title
england,england
old man,old man
cell phone,cell phone
flashlight,flashlight
fight,fight
camera,camera
shootout,shootout
love,love
death of father,death of father
violence,violence
male rear nudity,male rear nudity
hallucination,hallucination
female full frontal nudity,female full frontal nudity
nurse,nurse
boy,boy
food,food
extramarital affair,extramarital affair
psychopath,psychopath
apology,apology
male female relationship,male female relationship
vomiting,vomiting
dead body,dead body
dark comedy,dark comedy
church,church
drinking,drinking
husband wife relationship,husband wife relationship
undressing,undressing
stabbed to death,stabbed to death
brother brother relationship,brother brother relationship
teenage boy,teenage boy
nightmare,nightmare
police officer,police officer
shotgun,shotgun
friendship,friendship
one word title,one word title
dancing,dancing
mother daughter relationship,mother daughter relationship
fear,fear
boyfriend girlfriend relationship,boyfriend girlfriend relationship
elevator,elevator
priest,priest
betrayal,betrayal
blood,blood
horse,horse
prostitute,prostitute
friend,friend
hotel,hotel
sex scene,sex scene
snow,snow
surrealism,surrealism
based on novel,based on novel
money,money
paranoia,paranoia
letter,letter
hostage,hostage
psychotronic film,psychotronic film
shot in the chest,shot in the chest
suspense,suspense
female frontal nudity,female frontal nudity
rescue,rescue
stabbing,stabbing
gore,gore
knife,knife
photographer,photographer
shot in the back,shot in the back
shot to death,shot to death
held at gunpoint,held at gunpoint
suicide,suicide
drunkenness,drunkenness
soldier,soldier
underwater scene,underwater scene
independent film,independent film
dancer,dancer
male frontal nudity,male frontal nudity
teenage girl,teenage girl
shower,shower
mother son relationship,mother son relationship
cemetery,cemetery
no opening credits,no opening credits
young,young
rape,rape
fire,fire
cigarette smoking,cigarette smoking
rain,rain
europe,europe
car crash,car crash
revenge,revenge
foot chase,foot chase
shot in the head,shot in the head
train,train
slapped in the face,slapped in the face
shooting,shooting
singing,singing
doctor,doctor
torture,torture
boat,boat
adultery,adultery
